osm_id,other_tags
5966212,"""access""=>""private"",""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Sound"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5966344,"""access""=>""private"",""service""=>""driveway"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"""
5966398,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"",""tiger:source""=>""tiger_import_dch_v0.6_20070813"",""tiger:tlid""=>""62043810"",""tiger:upload_uuid""=>""bulk_upload.pl-8ab41e8e-2325-4baf-a992-a17fb4f6e3f9"""
5966431,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"",""tiger:source""=>""tiger_import_dch_v0.6_20070813"",""tiger:tlid""=>""62071785"",""tiger:upload_uuid""=>""bulk_upload.pl-8ab41e8e-2325-4baf-a992-a17fb4f6e3f9"""
5966573,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"",""tiger:source""=>""tiger_import_dch_v0.6_20070813"",""tiger:tlid""=>""62101065"",""tiger:upload_uuid""=>""bulk_upload.pl-8ab41e8e-2325-4baf-a992-a17fb4f6e3f9"""
5966574,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"""
5966595,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""South Palmer"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5966778,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Burning Tree"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20817"",""tiger:zip_right""=>""20817"""
5967059,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Stone Lake"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5967322,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Sweet Autumn"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20879"",""tiger:zip_right""=>""20879"""
5969675,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""West"",""tiger:name_type""=>""Dr"""
5969705,"""access""=>""private"",""alt_name""=>""Daruish"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Daruish"",""tiger:name_type""=>""Ln"",""tiger:reviewed""=>""no"""
5969706,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""East Rixey"",""tiger:reviewed""=>""no"""
5969852,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Pepco"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5970171,"""access""=>""privatev"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Wood"",""tiger:name_type""=>""Rd"""
5970330,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Cambria"",""tiger:name_type""=>""Ave"",""tiger:reviewed""=>""no"""
5970875,"""access""=>""private"",""maxspeed""=>""20 mph"",""surface""=>""asphalt"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Turning Creek"",""tiger:name_type""=>""Ct"",""tiger:reviewed""=>""no"""
5971521,"""access""=>""private"",""service""=>""driveway"",""surface""=>""asphalt"""
5972507,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Stokes"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5972872,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Bawan"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""position"",""tiger:separated""=>""no"",""tiger:source""=>""tiger_import_dch_v0.6_20070813"",""tiger:tlid""=>""62079751"",""ti"
5972968,"""access""=>""private"",""service""=>""driveway"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Monocacy"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"""
